date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:48	264/264	---MCZ	200	added ('OK')	text/plain	etag:W/%225eb2c725-243%22	https://danfoss-drives.com.ua/robots.txt		(from )
21:19:49	88327/88327	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2019:19:47%20GMT	https://danfoss-drives.com.ua/	G:/Code/tracker/test/danfoss-drives.com.ua/index.html	(from )
21:19:49	88161/88161	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2019:19:48%20GMT	https://danfoss-drives.com.ua/ru	G:/Code/tracker/test/danfoss-drives.com.ua/ru.html	(from https://danfoss-drives.com.ua/)
21:19:49	4205/4205	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202022%2019:19:48%20GMT	https://danfoss-drives.com.ua/wp-content/themes/technosence/logo_small.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/logo_small.png	(from https://danfoss-drives.com.ua/)
21:19:49	2468/2468	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225eb02c2b-9a4%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/favicons.ico	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/favicons.ico	(from https://danfoss-drives.com.ua/)
21:19:50	271606/271606	---MCZ	200	added ('OK')	text/css	etag:W/%225ed137f1-424f6%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css	(from https://danfoss-drives.com.ua/)
21:19:50	38/38	---M--	200	added ('OK')	text/css	etag:%225eb02c82-26%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style_ie.css	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/css/style_ie.css	(from https://danfoss-drives.com.ua/)
21:19:50	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2005%20Dec%202022%2019:19:50%20GMT	https://www.googletagmanager.com/gtm.js?id=	G:/Code/tracker/test/www.googletagmanager.com/gtm.55445.delayed	(from https://danfoss-drives.com.ua/)
21:19:50	1136/1136	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c8c-470%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/viber-mobile.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/images/viber-mobile.png	(from https://danfoss-drives.com.ua/)
21:19:51	1065/1065	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c8c-429%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/telegram-mobile.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/images/telegram-mobile.png	(from https://danfoss-drives.com.ua/)
21:19:51	15853/15853	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c8d-3ded%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/viber.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/images/viber.png	(from https://danfoss-drives.com.ua/)
21:19:51	1130/1130	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c8c-46a%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/telegram.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/images/telegram.png	(from https://danfoss-drives.com.ua/)
21:19:52	274774/274774	---MCZ	200	added ('OK')	text/html	etag:W/%225eb02c92-43156%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/shape/pdf.html	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/shape/pdf.html	(from https://danfoss-drives.com.ua/)
21:19:52	379/379	---M--	200	added ('OK')	image/gif	etag:%225eb02c82-17b%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/fancybox/ajax-loader.gif	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/fancybox/ajax-loader.gif	(from https://danfoss-drives.com.ua/)
21:19:52	13442/13442	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c8a-3482%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/polo_pod_sl.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/images/polo_pod_sl.png	(from https://danfoss-drives.com.ua/)
21:19:52	36828/36828	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225eb02c77-8fdc%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/services_sl_2_img_1.jpg	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/services_sl_2_img_1.jpg	(from https://danfoss-drives.com.ua/)
21:19:52	64448/64448	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225eb02c75-fbc0%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/services_sl_1_img_1.jpg	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/services_sl_1_img_1.jpg	(from https://danfoss-drives.com.ua/)
21:19:53	94866/94866	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225eb02c75-17292%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/services_sl_3_img_1.jpg	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/services_sl_3_img_1.jpg	(from https://danfoss-drives.com.ua/)
21:19:53	234373/234373	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c73-39385%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/why_slider_1.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/why_slider_1.png	(from https://danfoss-drives.com.ua/)
21:19:53	43149/43149	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c77-a88d%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/dozvil2.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/dozvil2.png	(from https://danfoss-drives.com.ua/)
21:19:53	109020/109020	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c74-1a9dc%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/deklaratsyia2.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/deklaratsyia2.png	(from https://danfoss-drives.com.ua/)
21:19:53	15775/15775	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c74-3d9f%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_8.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_8.png	(from https://danfoss-drives.com.ua/)
21:19:54	22443/22443	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c73-57ab%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_7.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_7.png	(from https://danfoss-drives.com.ua/)
21:19:54	21313/21313	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c7b-5341%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_6.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_6.png	(from https://danfoss-drives.com.ua/)
21:19:54	18487/18487	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c79-4837%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_5.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_5.png	(from https://danfoss-drives.com.ua/)
21:19:54	11569/11569	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225eb02c78-2d31%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_4.jpg	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_4.jpg	(from https://danfoss-drives.com.ua/)
21:19:55	24463/24463	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c79-5f8f%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_3.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_3.png	(from https://danfoss-drives.com.ua/)
21:19:55	35647/35647	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c77-8b3f%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_2.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_2.png	(from https://danfoss-drives.com.ua/)
21:19:55	15479/15479	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c79-3c77%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_1.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_1.png	(from https://danfoss-drives.com.ua/)
21:19:55	35235/35235	---MCZ	200	added ('OK')	image/png	etag:W/%225ed11eae-89a3%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/technical_img.png	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/images/technical_img.png	(from https://danfoss-drives.com.ua/)
21:19:56	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15283%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	G:/Code/tracker/test/cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://danfoss-drives.com.ua/)
21:19:56	4263/4263	---MCZ	200	added ('OK')	application/javascript	etag:W/%225eb02c8e-10a7%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/libs/jquery.maskedinput.min.js	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/libs/jquery.maskedinput.min.js	(from https://danfoss-drives.com.ua/)
21:19:56	291/291	---M--	200	added ('OK')	application/javascript	etag:%225eb02c8e-123%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/libs/menu.js	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/libs/menu.js	(from https://danfoss-drives.com.ua/)
21:19:57	28112/28112	---MCZ	200	added ('OK')	application/javascript	etag:W/%225eb02c8e-6dd0%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/libs/main.js	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/libs/main.js	(from https://danfoss-drives.com.ua/)
21:19:57	46268/46268	---M--	200	added ('OK')	application/octet-stream	etag:%225eb02c83-b4bc%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProLight.ttf	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProLight.ttf	(from https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css)
21:19:57	21451/21451	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225eb02c83-53cb%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProLight.eot	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProLight.eot	(from https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css)
21:19:57	40464/40464	---M--	200	added ('OK')	application/octet-stream	etag:%225eb02c85-9e10%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProRegular.ttf	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProRegular.ttf	(from https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css)
21:19:57	40642/40642	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225eb02c84-9ec2%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProRegular.eot	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProRegular.eot	(from https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css)
21:19:57	46088/46088	---M--	200	added ('OK')	application/octet-stream	etag:%225eb02c83-b408%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProMedium.ttf	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProMedium.ttf	(from https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css)
21:19:58	21742/21742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225eb02c83-54ee%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProMedium.eot	G:/Code/tracker/test/danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProMedium.eot	(from https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css)
